start_time,length,rename_to
0,25,chunked_videos/AIbqFJBEn2k-scene017/split_0.mp4
25,25,chunked_videos/AIbqFJBEn2k-scene017/split_1.mp4
50,25,chunked_videos/AIbqFJBEn2k-scene017/split_2.mp4
75,25,chunked_videos/AIbqFJBEn2k-scene017/split_3.mp4
100,25,chunked_videos/AIbqFJBEn2k-scene017/split_4.mp4
125,25,chunked_videos/AIbqFJBEn2k-scene017/split_5.mp4
150,25,chunked_videos/AIbqFJBEn2k-scene017/split_6.mp4
175,25,chunked_videos/AIbqFJBEn2k-scene017/split_7.mp4
200,25,chunked_videos/AIbqFJBEn2k-scene017/split_8.mp4
225,25,chunked_videos/AIbqFJBEn2k-scene017/split_9.mp4
250,25,chunked_videos/AIbqFJBEn2k-scene017/split_10.mp4
275,25,chunked_videos/AIbqFJBEn2k-scene017/split_11.mp4
300,25,chunked_videos/AIbqFJBEn2k-scene017/split_12.mp4
325,25,chunked_videos/AIbqFJBEn2k-scene017/split_13.mp4
350,25,chunked_videos/AIbqFJBEn2k-scene017/split_14.mp4
375,25,chunked_videos/AIbqFJBEn2k-scene017/split_15.mp4
400,25,chunked_videos/AIbqFJBEn2k-scene017/split_16.mp4
425,25,chunked_videos/AIbqFJBEn2k-scene017/split_17.mp4
450,25,chunked_videos/AIbqFJBEn2k-scene017/split_18.mp4
475,25,chunked_videos/AIbqFJBEn2k-scene017/split_19.mp4
500,25,chunked_videos/AIbqFJBEn2k-scene017/split_20.mp4
525,25,chunked_videos/AIbqFJBEn2k-scene017/split_21.mp4
550,25,chunked_videos/AIbqFJBEn2k-scene017/split_22.mp4
575,25,chunked_videos/AIbqFJBEn2k-scene017/split_23.mp4
600,25,chunked_videos/AIbqFJBEn2k-scene017/split_24.mp4
625,25,chunked_videos/AIbqFJBEn2k-scene017/split_25.mp4
650,25,chunked_videos/AIbqFJBEn2k-scene017/split_26.mp4
675,25,chunked_videos/AIbqFJBEn2k-scene017/split_27.mp4
700,25,chunked_videos/AIbqFJBEn2k-scene017/split_28.mp4
